year,topic,theta_bar_kY
2001,US01,0.02693
2001,US02,0.01063
2001,US03,0.00357
2001,US04,4.4e-4
2001,US05,0.00719
2001,US06,4e-5
2001,US07,0.50221
2001,US08,0.04941
2001,US09,5.2e-4
2001,US10,2e-5
2001,US11,1e-5
2001,US12,9e-5
2001,US13,2.4e-4
2001,US14,0.00348
2001,US15,0
2001,US16,0.28221
2001,US17,6e-5
2001,US18,2.6e-4
2001,US19,0.00114
2001,US20,0.11154
2002,US01,0.00214
2002,US02,0.00351
2002,US03,0.00162
2002,US04,2.5e-4
2002,US05,0.01273
2002,US06,0.00783
2002,US07,0.28485
2002,US08,0.04367
2002,US09,0.13132
2002,US10,4e-5
2002,US11,4e-5
2002,US12,8e-5
2002,US13,2.4e-4
2002,US14,0.00115
2002,US15,5e-5
2002,US16,0.1012
2002,US17,2e-5
2002,US18,3.9e-4
2002,US19,0.02722
2002,US20,0.38165
2003,US01,0.35323
2003,US02,0.11389
2003,US03,0.04552
2003,US04,9e-4
2003,US05,0.01297
2003,US06,5.3e-4
2003,US07,0.23119
2003,US08,0.00634
2003,US09,0.01136
2003,US10,0
2003,US11,3.1e-4
2003,US12,1.6e-4
2003,US13,3.3e-4
2003,US14,0.07592
2003,US15,2e-5
2003,US16,0.03172
2003,US17,3e-5
2003,US18,3.4e-4
2003,US19,3.6e-4
2003,US20,0.11486
2004,US01,0.00337
2004,US02,0.33911
2004,US03,5e-5
2004,US04,0.00193
2004,US05,9.7e-4
2004,US06,3e-5
2004,US07,0.25331
2004,US08,6e-5
2004,US09,3.8e-4
2004,US10,1e-5
2004,US11,2.9e-4
2004,US12,8.5e-4
2004,US13,1.2e-4
2004,US14,0.09772
2004,US15,1e-5
2004,US16,5.6e-4
2004,US17,0
2004,US18,0
2004,US19,7e-4
2004,US20,0.30055
2005,US01,0.04797
2005,US02,0.32272
2005,US03,0.01729
2005,US04,4.2e-4
2005,US05,0.02367
2005,US06,8e-5
2005,US07,0.12818
2005,US08,0.10472
2005,US09,0.00125
2005,US10,2e-4
2005,US11,3.7e-4
2005,US12,9.5e-4
2005,US13,0.00147
2005,US14,0.01703
2005,US15,1e-5
2005,US16,0.1889
2005,US17,3.3e-4
2005,US18,2.5e-4
2005,US19,4.9e-4
2005,US20,0.14371
2006,US01,0.06329
2006,US02,0.19007
2006,US03,0.09585
2006,US04,1.9e-4
2006,US05,0.31417
2006,US06,4.7e-4
2006,US07,0.02299
2006,US08,0.06935
2006,US09,0.00131
2006,US10,6e-5
2006,US11,6.4e-4
2006,US12,0.00161
2006,US13,0.00197
2006,US14,0.00587
2006,US15,1e-5
2006,US16,0.14802
2006,US17,0.00106
2006,US18,0.00205
2006,US19,8.5e-4
2006,US20,0.08016
2007,US01,0.20673
2007,US02,0.1787
2007,US03,0.13878
2007,US04,0.00251
2007,US05,0.13468
2007,US06,0.0016
2007,US07,0.01239
2007,US08,0.00288
2007,US09,0.00631
2007,US10,3e-5
2007,US11,0.00447
2007,US12,1.5e-4
2007,US13,0.00119
2007,US14,0.15624
2007,US15,1e-5
2007,US16,0.07823
2007,US17,3.9e-4
2007,US18,0.00143
2007,US19,0.00093000000000000005
2007,US20,0.07234
2008,US01,0.01672
2008,US02,0.29051
2008,US03,0.21967
2008,US04,3.4e-4
2008,US05,0.00554
2008,US06,3.7e-4
2008,US07,0.00362
2008,US08,8.9e-4
2008,US09,5.7e-4
2008,US10,3e-4
2008,US11,0.00111
2008,US12,1e-4
2008,US13,5.7e-4
2008,US14,0.09037
2008,US15,1e-5
2008,US16,0.09346
2008,US17,0.00202
2008,US18,0.05593
2008,US19,0.00405
2008,US20,0.21385
2009,US01,0.00167
2009,US02,0.268
2009,US03,0.39992
2009,US04,1e-4
2009,US05,7.8e-4
2009,US06,0.00185
2009,US07,3.6e-4
2009,US08,0.11872
2009,US09,0.00163
2009,US10,0.01746
2009,US11,0.01731
2009,US12,2e-5
2009,US13,5e-5
2009,US14,0.00142
2009,US15,0.00395
2009,US16,0.06242
2009,US17,0.00287
2009,US18,0.0218
2009,US19,0.02214
2009,US20,0.05752
2010,US01,0.00835
2010,US02,0.07785
2010,US03,0.27824
2010,US04,6.4e-4
2010,US05,0.00258
2010,US06,3e-4
2010,US07,7.5e-4
2010,US08,0.02619
2010,US09,8.8e-4
2010,US10,5.5e-4
2010,US11,0.03621
2010,US12,7e-5
2010,US13,1.4e-4
2010,US14,0.15166
2010,US15,3e-5
2010,US16,0.14086
2010,US17,0.05723
2010,US18,0.00568
2010,US19,0.1254
2010,US20,0.0864
2011,US01,0.05784
2011,US02,0.17224
2011,US03,0.21125
2011,US04,8.5e-4
2011,US05,0.00177
2011,US06,3.5e-4
2011,US07,0.02862
2011,US08,3.2e-4
2011,US09,7.1e-4
2011,US10,6e-5
2011,US11,0.06625
2011,US12,3.4e-4
2011,US13,0.00116
2011,US14,0.2443
2011,US15,7e-5
2011,US16,0.02876
2011,US17,3.1e-4
2011,US18,0.00857
2011,US19,0.12703
2011,US20,0.04918
2012,US01,0.00813
2012,US02,0.06545
2012,US03,0.20865
2012,US04,0.0033
2012,US05,0.00407
2012,US06,4.6e-4
2012,US07,0.01372
2012,US08,3.9e-4
2012,US09,0.00244
2012,US10,0.00834
2012,US11,0.16492
2012,US12,5.7e-4
2012,US13,0.0053
2012,US14,0.08249
2012,US15,8e-5
2012,US16,0.13791
2012,US17,3.1e-4
2012,US18,0.00115
2012,US19,0.18433
2012,US20,0.108
2013,US01,4.4e-4
2013,US02,0.05425
2013,US03,0.42544
2013,US04,4e-5
2013,US05,0.00618
2013,US06,5.9e-4
2013,US07,0.0012
2013,US08,1.9e-4
2013,US09,2.5e-4
2013,US10,5.7e-4
2013,US11,0.26249
2013,US12,5e-5
2013,US13,2e-5
2013,US14,0.00204
2013,US15,4e-5
2013,US16,0.0027
2013,US17,4.4e-4
2013,US18,0.00969
2013,US19,0.12937
2013,US20,0.10398
2014,US01,0.00596
2014,US02,0.00494
2014,US03,0.14068
2014,US04,0.05455
2014,US05,0.00997
2014,US06,9e-4
2014,US07,0.00223
2014,US08,0.0013
2014,US09,9.5e-4
2014,US10,0.00151
2014,US11,0.20978
2014,US12,1.1e-4
2014,US13,7e-5
2014,US14,0.16431
2014,US15,2.4e-4
2014,US16,0.10538
2014,US17,0.00407
2014,US18,0.01758
2014,US19,0.22222
2014,US20,0.05325
2015,US01,0.0025
2015,US02,0.00328
2015,US03,0.21914
2015,US04,0.00514
2015,US05,0.00768
2015,US06,8.2e-4
2015,US07,5.1e-4
2015,US08,0.03726
2015,US09,5e-4
2015,US10,0.00117
2015,US11,0.18651
2015,US12,5.7e-4
2015,US13,8.1e-4
2015,US14,0.03987
2015,US15,9e-5
2015,US16,0.12669
2015,US17,0.07578
2015,US18,0.00407
2015,US19,0.25957
2015,US20,0.02802
2016,US01,0.0072
2016,US02,0.00748
2016,US03,0.25037
2016,US04,0.00113
2016,US05,0.05563
2016,US06,0.00125
2016,US07,0.00867
2016,US08,0.01681
2016,US09,0.09503
2016,US10,0.00162
2016,US11,0.12819
2016,US12,6.5e-4
2016,US13,0.01677
2016,US14,0.05257
2016,US15,0.00125
2016,US16,0.10851
2016,US17,0.02896
2016,US18,0.04311
2016,US19,0.17277
2016,US20,0.00202
2017,US01,0.03176
2017,US02,0.00133
2017,US03,0.11636
2017,US04,0.14558
2017,US05,0.00838
2017,US06,0.05754
2017,US07,0.01178
2017,US08,0.10626
2017,US09,0.02586
2017,US10,6.8e-4
2017,US11,0.09381
2017,US12,0.06244
2017,US13,0.00128
2017,US14,0.03671
2017,US15,0.04246
2017,US16,0.09811
2017,US17,0.0223
2017,US18,0.09239
2017,US19,0.04464
2017,US20,3.5e-4
2018,US01,0.07306
2018,US02,4.9e-4
2018,US03,5.5e-4
2018,US04,0.38381
2018,US05,9.8e-4
2018,US06,0.0034
2018,US07,0.00775
2018,US08,0.07858
2018,US09,0.19327
2018,US10,4e-4
2018,US11,4.1e-4
2018,US12,0.17402
2018,US13,0.02501
2018,US14,0.00316
2018,US15,0.01818
2018,US16,0.02039
2018,US17,0.00152
2018,US18,0.00843
2018,US19,0.00648
2018,US20,1.2e-4
2019,US01,0.09217
2019,US02,6e-5
2019,US03,4.4e-4
2019,US04,0.52666
2019,US05,7.6e-4
2019,US06,4.6e-4
2019,US07,0.00184
2019,US08,0.00254
2019,US09,0.02869
2019,US10,4e-4
2019,US11,8e-5
2019,US12,0.22274
2019,US13,0.00289
2019,US14,0.0036
2019,US15,0.00212
2019,US16,0.04616
2019,US17,0.00102
2019,US18,0.02394
2019,US19,0.04323
2019,US20,2e-4
2020,US01,0.01116
2020,US02,2.8e-4
2020,US03,0.02644
2020,US04,0.15715
2020,US05,0.00274
2020,US06,0.22507
2020,US07,0.0067
2020,US08,0.29557
2020,US09,0.00649
2020,US10,6.7e-4
2020,US11,0.01425
2020,US12,0.07226
2020,US13,0.01759
2020,US14,8.4e-4
2020,US15,0.00701
2020,US16,0.03509
2020,US17,0.02111
2020,US18,0.07319
2020,US19,0.02628
2020,US20,1.1e-4
2021,US01,0.00433
2021,US02,2e-4
2021,US03,0.00261
2021,US04,6.9e-4
2021,US05,4.4e-4
2021,US06,0.33221
2021,US07,6.4e-4
2021,US08,0.00148
2021,US09,0.00575
2021,US10,0.25027
2021,US11,6e-4
2021,US12,0.03259
2021,US13,0.15927
2021,US14,0.00525
2021,US15,7.1e-4
2021,US16,0.08374
2021,US17,0.01912
2021,US18,0.09273
2021,US19,0.00707
2021,US20,3.1e-4
2022,US01,0.0012
2022,US02,3e-4
2022,US03,0.00155
2022,US04,0.00113
2022,US05,1.7e-4
2022,US06,0.06831
2022,US07,2.4e-4
2022,US08,0.09778
2022,US09,0.06725
2022,US10,0.33571
2022,US11,2.7e-4
2022,US12,0.00283
2022,US13,0.09213
2022,US14,3.3e-4
2022,US15,0.024140000000000002
2022,US16,0.07716
2022,US17,0.05693
2022,US18,0.16977
2022,US19,0.00268
2022,US20,1.1e-4
2023,US01,0.01048
2023,US02,8e-5
2023,US03,0.05708
2023,US04,0.00111
2023,US05,1.8e-4
2023,US06,0.02385
2023,US07,7e-5
2023,US08,0.02023
2023,US09,0.0015
2023,US10,0.15195
2023,US11,0.00136
2023,US12,8.7e-4
2023,US13,0.0603
2023,US14,0.01986
2023,US15,3.2e-4
2023,US16,0.08899
2023,US17,0.42056
2023,US18,0.13941
2023,US19,0.00179
2023,US20,2e-5
2024,US01,0.01096
2024,US02,1e-5
2024,US03,7.4e-4
2024,US04,0.00587
2024,US05,4e-5
2024,US06,0.12468
2024,US07,1e-5
2024,US08,0.01412
2024,US09,0.01141
2024,US10,0.26312
2024,US11,1.5e-4
2024,US12,6.2e-4
2024,US13,0.09652
2024,US14,1.1e-4
2024,US15,0.0045
2024,US16,0.04823
2024,US17,0.09156
2024,US18,0.32561
2024,US19,0.00172
2024,US20,2e-5
2025,US01,0.01274
2025,US02,1e-5
2025,US03,0.00889
2025,US04,0.05451
2025,US05,4e-5
2025,US06,0.04594
2025,US07,9e-5
2025,US08,0.03847
2025,US09,0.09023
2025,US10,8.4e-4
2025,US11,2.7e-4
2025,US12,6.4e-4
2025,US13,0.14728
2025,US14,2.7e-4
2025,US15,0.47193
2025,US16,0.02274
2025,US17,0.01297
2025,US18,0.08649
2025,US19,0.00565
2025,US20,0
