year,US01,US02,US03,US04,US05,US06,US07,US08,US09,US10,US11,US12,US13,US14,US15,US16,US17,US18,US19,US20,n_docs
2001,0.0269313420580201,0.01063062579340147,0.0035730776288165475,4.3631768810791557e-4,0.00718968405256005,4.149369012885973e-5,0.5022137636627525,0.049409396447322854,5.220095477745272e-4,1.939764786222778e-5,1.1924652916098372e-5,9.412751687654642e-5,2.3718749693388697e-4,0.0034760715472448786,2.5994165362124345e-6,0.282212783515163,5.98725156698234e-5,2.586869010769962e-4,0.0011430537244975216,0.11153658449633799,5
2002,0.0021422486302656797,0.0035122953096900712,0.0016243591002889357,2.4749133231728314e-4,0.012728716719766433,0.007832434494748157,0.284849650596462,0.043668433387313625,0.13131819892973845,4.259996706177845e-5,3.90685588018764e-5,7.758626405565873e-5,2.4490864469474443e-4,0.0011518607404525634,5.411612780323505e-5,0.10119915721832949,1.5305124866508897e-5,3.852519457493619e-4,0.02721515720972747,0.3816511596978666,5
2003,0.3532329004019351,0.113889877208613,0.04551918165434664,8.973686190168055e-4,0.012965862163948969,5.341599582628785e-4,0.2311862642340316,0.006344253333791039,0.011363854479306613,3.8041023176479374e-6,3.1252496547546596e-4,1.561894311926185e-4,3.3361263003756645e-4,0.0759239778793165,2.3519283571061014e-5,0.031720390572374496,2.968408858249519e-5,3.4445678007924587e-4,3.56275611064761e-4,0.11486184260273555,7
2004,0.0033691899485475733,0.33911057031128755,5.271274808769079e-5,0.0019255414128856022,9.670996774740056e-4,2.7889087838598635e-5,0.2533131167272639,5.577676793930845e-5,3.829081399294017e-4,9.251502929948555e-6,2.8975576382950035e-4,8.455800848957571e-4,1.1795365005974788e-4,0.09771890650874802,8.746335117123327e-6,5.562423698596498e-4,7.190314062812208e-7,3.6598177262018346e-6,6.962627453921885e-4,0.30054811736878206,3
2005,0.047967774862725174,0.3227241972897097,0.01728668725907839,4.22321746633632e-4,0.02367397796224259,7.526203319483624e-5,0.12817845490276242,0.10472096204679954,0.0012465758177233588,2.0059488159101954e-4,3.6859347677592426e-4,9.471106149091073e-4,0.0014665386740523483,0.017034534819175284,1.1500657053986686e-5,0.18889522889757582,3.3235567302489677e-4,2.472848187449336e-4,4.880723945190011e-4,0.14371197117170828,6
2006,0.063285821187725,0.19007385363157872,0.09585174263378127,1.898031345315573e-4,0.3141736595251276,4.6967898532779994e-4,0.022994320182708746,0.06934711375990793,0.0013055269573881343,5.7326135428448546e-5,6.440374136576969e-4,0.001614912707504241,0.001969335021035745,0.005866578630098813,8.616098149012528e-6,0.14802324501725064,0.0010587399270485963,0.0020528022011193046,8.527884699436019e-4,0.08016009838068719,11
2007,0.20673085788814607,0.17869506553110226,0.1387839935447059,0.0025120466625097116,0.13467607786295324,0.0015986870078834186,0.01239076646688156,0.00287821182230024,0.006308274021889802,2.6924156327409085e-5,0.004465114378214871,1.5430049863819438e-4,0.0011925468968162257,0.15624274831574708,1.3418201372156957e-5,0.07823321057774035,3.938374095035106e-4,0.0014338557686040274,9.320911512522595e-4,0.07233797183741197,12
2008,0.016717227296324976,0.2905117385860043,0.2196725339508531,3.414478513991835e-4,0.005536918203791607,3.704904644795068e-4,0.003615955530124789,8.885066561654231e-4,5.726527192711095e-4,2.9628207866127756e-4,0.001112176952164915,1.004609022490039e-4,5.674922485832478e-4,0.09037462707400963,7.758947350955535e-6,0.09346050833048684,0.0020224498146145667,0.05593410545833939,0.004048702280963816,0.21384796465416198,7
2009,0.0016707285635440623,0.26799526470134155,0.39991733112332534,9.698312114155979e-5,7.839815859110474e-4,0.0018500028328331788,3.625396368184649e-4,0.11872412496048117,0.0016346588917437689,0.01746392292543687,0.017311934721735478,1.9533076542586916e-5,4.9530448567741066e-5,0.0014185518697359943,0.0039496691440882225,0.06242251084821459,0.002868689104394868,0.021800874853557955,0.022141877026281526,0.05751729056430422,7
2010,0.00834595899505807,0.07785451267394294,0.27823538065531855,6.411079515406646e-4,0.002575365100024017,3.032485967398722e-4,7.457819146920545e-4,0.026193572372294,8.833367134620123e-4,5.487821741584603e-4,0.03620725209328578,6.548677826652699e-5,1.441914993970604e-4,0.15166015756859957,3.231887349968048e-5,0.14086078125546253,0.05722889262880022,0.005679729884306186,0.12539676327711105,0.0863973789940408,9
2011,0.05784203775762822,0.17223731022495423,0.2112517801606974,8.49934246909058e-4,0.0017675375162819068,3.4997493987120665e-4,0.02861891052964053,3.1986188967761495e-4,7.125110118361749e-4,6.498086893529024e-5,0.06625064045295675,3.445407836501393e-4,0.0011553115432877724,0.244300358727486,7.463975621801016e-5,0.02875860094385783,3.1426206836670313e-4,0.00856999897744006,0.12703265278218864,0.04918415481811663,10
2012,0.008129647059276624,0.0654473836952359,0.20864780745844363,0.0033019787053799347,0.004065883919253298,4.647394591796533e-4,0.01371586627430458,3.8816402248747237e-4,0.002443644182067962,0.008335982997906574,0.16492299064400034,5.711639401230245e-4,0.0052956831381721775,0.08248887473071143,8.319257682502024e-5,0.13790694349858887,3.1256326851047944e-4,0.0011458217252147272,0.18433008043813354,0.1080015882661849,8
2013,4.440958372313792e-4,0.05425083909066929,0.4254449428564119,4.0923707522992e-5,0.006175765897227216,5.907974112633582e-4,0.0012047662697812407,1.9442591526662036e-4,2.5167836829146603e-4,5.735843755059884e-4,0.26249190914803516,5.270912760872687e-5,1.6505742681034102e-5,0.002037405573413854,4.339905361289452e-5,0.00270469170357103,4.3666491591206973e-4,0.009687317761230479,0.12937401136277157,0.10398356588199142,4
2014,0.005957183584241554,0.004937190260026111,0.14068128555381612,0.054551687871939314,0.009970687856831185,8.978214438373237e-4,0.002233632698356085,0.001301806834719673,9.464993450475827e-4,0.0015074973186935303,0.2097818203813022,1.0691427359529342e-4,6.9729625904845e-5,0.164310944194211,2.4281468107372728e-4,0.10538269091124894,0.004069094980763166,0.017576809432529754,0.2222241716571351,0.053249717094727554,6
2015,0.0024960268947817102,0.0032811969535080847,0.21914150838248642,0.0051425733625584825,0.0076827966363171825,8.247811346188688e-4,5.11541543690527e-4,0.03725919009731673,5.043102210158803e-4,0.0011743434902604397,0.18651137623069622,5.690157917065837e-4,8.140476434738879e-4,0.03987441630534018,9.032253759245644e-5,0.12668509275969625,0.07578188156679279,0.004066860756689982,0.2595676236602611,0.02802109403119655,8
2016,0.007203246397066119,0.007477540521267057,0.25037381014076543,0.0011303123482887078,0.05562762820916893,0.0012511015550861514,0.008669287977123347,0.0168149404690107,0.09502587212042057,0.0016232052211943239,0.12818611817166162,6.52995778864671e-4,0.016766661438872496,0.052566370588887884,0.001246531648931694,0.10851376834439712,0.028964408750904762,0.0431136456653384,0.17277445349964526,0.002018101153104856,12
2017,0.031755837591841474,0.0013299804258583197,0.11636114084041697,0.14557695235090096,0.0083754543554924,0.057536877691844034,0.011781509906814076,0.10625653713818728,0.025858157887712223,6.773883594447295e-4,0.09381078254154712,0.06243812079089893,0.0012786802874261945,0.036711829726532696,0.04246400839951295,0.09811190760538326,0.02229851287783761,0.09238655385605019,0.044640143617111265,3.49623749187586e-4,8
2018,0.07305795327782615,4.899077402592627e-4,5.495969684168519e-4,0.3838087764725206,9.826022400515357e-4,0.003395824491181972,0.007746888217333392,0.07858089521827025,0.19327181973241467,4.021216199381117e-4,4.054187224594087e-4,0.1740217575307615,0.02501292597447934,0.0031623847880597636,0.018179389875379984,0.020386129361586087,0.0015203160922611558,0.008426399440559557,0.006480753596162738,1.1813864007753763e-4,13
2019,0.09216561315600325,6.188657441596337e-5,4.4308489962225977e-4,0.5266561030286294,7.577901972215637e-4,4.6103841686461237e-4,0.001842417614181266,0.0025394756623749837,0.028690936494094574,4.0255952081507394e-4,7.836813701279254e-5,0.2227425547789349,0.0028912654359780714,0.003602020727904254,0.0021197924734585338,0.04615944072688672,0.0010161984038205977,0.02393746380012096,0.04322986308497735,2.0212686668302774e-4,6
2020,0.011162819689982948,2.818847318946242e-4,0.02643927155521587,0.15715186077872673,0.0027401824397599544,0.22506694921025738,0.006695210758652443,0.29557194890072985,0.0064878914139651495,6.729578621156726e-4,0.014253335652409488,0.0722631669955781,0.017587538355892465,8.353043703374967e-4,0.007009703383704363,0.03509457067296675,0.021105926513203244,0.07318548936301664,0.026281649236661927,1.1233811492911639e-4,15
2021,0.004333915015395264,2.03562531554687e-4,0.0026138460168276304,6.851595678208939e-4,4.370259382010584e-4,0.3322126153051371,6.417021025494068e-4,0.0014800188382495328,0.005749865301985736,0.250267798905821,5.961240543389077e-4,0.03258847899978142,0.15926531204228533,0.005248312811307031,7.147684696110556e-4,0.08374387919717682,0.019115620219726993,0.09272783040026586,0.007066306968121711,3.078573138426118e-4,6
2022,0.001198887017922381,2.995885187186717e-4,0.0015501082768036591,0.0011318544677935917,1.6662309143089854e-4,0.06830595607422504,2.420609488072299e-4,0.09778309204074181,0.06724812899039567,0.3357100796899967,2.682878681542735e-4,0.0028319100982777635,0.09213015543260603,3.3458612595869275e-4,0.02414449470260302,0.07715717313432215,0.05692907504549437,0.16977295064400227,0.0026840332041641515,1.1095462758149308e-4,11
2023,0.01047924043282121,7.606615347585266e-5,0.05707554547136624,0.0011136948309479454,1.8383737818799395e-4,0.023849747176386084,6.761230798940243e-5,0.020232152400637884,0.0014954377755557965,0.15194786321422496,0.001363750454264959,8.716625310556542e-4,0.06030241753170858,0.019856742901756375,3.1771107188943715e-4,0.08898910637814823,0.4205587040163315,0.1394141643340965,0.0017855255203234807,1.9018118832021724e-5,17
2024,0.010961294594442535,5.625150930958816e-6,7.360090038288934e-4,0.005871554521666836,3.65417692922721e-5,0.1246796230601177,1.2189894379755055e-5,0.014119879423285681,0.011413619520702306,0.2631189302685983,1.4736598305147691e-4,6.151121444215155e-4,0.09652459190898746,1.1402435768509661e-4,0.004500752347326709,0.04822583085211271,0.09156385361777425,0.32561057985588976,0.0017202241026241388,2.2397622881494426e-5,8
2025,0.012736606221118206,1.057545892641079e-5,0.008894548258479592,0.05450864160454924,3.774864474178293e-5,0.04594052440125343,8.543974449884776e-5,0.03847293883365601,0.09023407692869449,8.367543108331825e-4,2.718094864868384e-4,6.440691743873503e-4,0.14728415795931546,2.6860540595453924e-4,0.471925192285008,0.02273872577394054,0.012971747293204647,0.0864893099412386,0.005647271661438727,1.2566122743206899e-6,7
